AG_APP,TOTAL PARCEL ACRES,TOTAL AGLAND ACRES,Commodity_Acres,Hay_Acres,Perm_Pasture_Acres,Noncommercial_Wood_Acres,Commerical_Wood_Acres,Other_Crop_Acres,Homesite_Acres,Road_Waste_Pond_Acres,CRP_Acres,Con25_Acres,Other_Use_Acres,Stated_Total_Acres,Gross_Income_1,Gross_Income_2,Gross_Income_3,NOTE
53,479.475,482.105,401.149,4,0,59.181,0,0,1,14.145,0,0,0,482.1,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
68,273.82,272.458,228.929,0,0,40.283,0,0,0,4.608,0,0,0,272.458,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
898,113.563,112.36,107.45,0,0,0,0,0,1,4.323,0.79,0,0,112.75,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1120,40,34.814,28.872,0,0,3.302,0,0,0,6.474,1.13,0.222,0,34.814,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1130,138.289,133.224,110.323,5.13,0,11.509,0,0,0,11.327,0,0,0,133.224,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1137,77.28,70.437,68.788,0,0,0.079,0,0,0,8.413,0,0,0,70.437,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1170,348.952,364.647,322.477,0,0,13.012,0,0,2,11.463,0,0,0,364.647,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1172,89.451,91.239,88.042,0,0,0.107,0,0,0,1.302,0,0,0,0,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1305,121.662,99.188,94.874,0,0,0.155,0,0,0,25.198,0,1.435,0,99.188,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1321,113.414,118.414,102.014,0,0,7.501,0,0,0,3.899,0,0,0,40.5,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1831,446.327,443.327,169.194,264.292,0,0.047,0,0,1,11.794,0,0,0,446.327,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
1872,245.847,244.847,229.987,0,0,3.95,0,0,1,6.022,4.19,0.698,0,240.347,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
2265,522.368,530.28,462.432,0,0,27.442,0,0,1,7.956,22.257,1.281,0,483.368,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
2414,143.949,141.492,94.128,0,0,39.848,0,0,0,9.973,0,0,0,132.735,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
2626,160,157.465,136.384,0,0,13.593,0,0,0,7.477,2.29,0.256,0,157.465,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
3154,157.597,154.727,127.453,0,0,23.436,0,0,0,6.708,0,0,0,0,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
3160,231.023,225.043,198.458,0,0,16.831,0,0,1,14.734,0,0,0,225.043,30889,59278,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
3172,81.835,83.038,80.791,0,0,0,0,0,0,1.044,0,0,0,0,0,0,0,['CALCULATED DOES NOT EQUAL DEED'] MANUALLY ADJUST
